li_item_id,percentage_applied,event_type_code,schedule_code
"11969Y_8119_1344_48442_48493","40.18","SPR_SINGLE_PD","4535"
"11969Y_8119_1344_48442_55203","40.18","SPR_SINGLE_PD","4535"
"11969Y_8119_1344_48442_55204","40.18","SPR_SINGLE_PD","4535"
"11969Y_8119_1344_48442_55205","40.18","SPR_SINGLE_PD","4535"
"12004T_8119_1344_48147_48155","40.18","SPR_SINGLE_PD","4535"
"12004T_8119_1344_48147_55193","40.18","SPR_SINGLE_PD","4535"
"12004T_8119_1344_48147_55194","40.18","SPR_SINGLE_PD","4535"
"12004T_8119_1344_48147_55195","40.18","SPR_SINGLE_PD","4535"
"12011E_8839_1344_5820_55276","40.18","SPR_SINGLE_PD","4535"
"12011E_8839_1344_5820_55278","40.18","SPR_SINGLE_PD","4535"
"12011E_8839_1344_5820_55286","40.18","SPR_SINGLE_PD","4535"
